{'Class': 0, 'TP': 1, 'FN': 4.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 1, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 2, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 3, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 4, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 5, 'TP': 0, 'FN': 5.0, 'FP': 6.0, 'TN': 254.0}
{'Class': 6, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 7, 'TP': 1, 'FN': 4.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 8, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 9, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 10, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 11, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 12, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 13, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 14, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 15, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 16, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 17, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 18, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 19, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 20, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 21, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 22, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 23, 'TP': 1, 'FN': 4.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 24, 'TP': 0, 'FN': 5.0, 'FP': 6.0, 'TN': 254.0}
{'Class': 25, 'TP': 1, 'FN': 4.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 26, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 27, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 28, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 29, 'TP': 0, 'FN': 5.0, 'FP': 6.0, 'TN': 254.0}
{'Class': 30, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 31, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 32, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 33, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 34, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 35, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 36, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 37, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 38, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 39, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 40, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 41, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 42, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
{'Class': 43, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 44, 'TP': 0, 'FN': 5.0, 'FP': 6.0, 'TN': 254.0}
{'Class': 45, 'TP': 1, 'FN': 4.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 46, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 47, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 48, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 49, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 50, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 51, 'TP': 0, 'FN': 5.0, 'FP': 5.0, 'TN': 255.0}
{'Class': 52, 'TP': 0, 'FN': 5.0, 'FP': 4.0, 'TN': 256.0}
